document_id,language,ground_truth,prediction,error_type
1,English,Name3:PERSON,,MISS
1,English,4482199351819093:CARD,,MISS
1,English,Address A:ADDRESS,,MISS
1,English,603326:AMOUNT,,MISS
1,English,,Aadhaar:AADHAAR,FALSE_POSITIVE
1,English,,IFSC:IFSC,FALSE_POSITIVE
1,English,,Card 4482199351819093:CARD,FALSE_POSITIVE
1,English,,Address Address:PERSON,FALSE_POSITIVE
1,English,,₹603326:AMOUNT,FALSE_POSITIVE
2,Hindi,Name4:PERSON,,MISS
2,Hindi,9684656321:PHONE,,MISS
2,Hindi,Address A:ADDRESS,,MISS
2,Hindi,159647:AMOUNT,,MISS
2,Hindi,,फोन 9684656321:PHONE,FALSE_POSITIVE
2,Hindi,,₹159647:AMOUNT,FALSE_POSITIVE
3,Kannada,Name2:PERSON,,MISS
3,Kannada,Address B:ADDRESS,,MISS
3,Kannada,870117:AMOUNT,,MISS
3,Kannada,,₹870117:AMOUNT,FALSE_POSITIVE
4,Tamil,Name5:PERSON,,MISS
4,Tamil,Address C:ADDRESS,,MISS
4,Tamil,90044:AMOUNT,,MISS
4,Tamil,,₹90044:AMOUNT,FALSE_POSITIVE
5,Telugu,Name2:PERSON,,MISS
5,Telugu,Address A:ADDRESS,,MISS
5,Telugu,201599:AMOUNT,,MISS
5,Telugu,,₹201599:AMOUNT,FALSE_POSITIVE
6,Malayalam,Name1:PERSON,,MISS
6,Malayalam,Address B:ADDRESS,,MISS
6,Malayalam,543568:AMOUNT,,MISS
6,Malayalam,,₹543568:AMOUNT,FALSE_POSITIVE
7,Gujarati,140261401419:BANK_ACCOUNT,140261401419:AADHAAR,WRONG_LABEL
7,Gujarati,Name5:PERSON,,MISS
7,Gujarati,Address A:ADDRESS,,MISS
7,Gujarati,20329:AMOUNT,,MISS
7,Gujarati,,₹20329:AMOUNT,FALSE_POSITIVE
8,Marathi,Name5:PERSON,,MISS
8,Marathi,Address C:ADDRESS,,MISS
8,Marathi,44690:AMOUNT,,MISS
8,Marathi,,₹44690:AMOUNT,FALSE_POSITIVE
9,Bengali,Name3:PERSON,,MISS
9,Bengali,Address A:ADDRESS,,MISS
9,Bengali,348889:AMOUNT,,MISS
9,Bengali,,₹348889:AMOUNT,FALSE_POSITIVE
10,Odia,Name3:PERSON,,MISS
10,Odia,Address B:ADDRESS,,MISS
10,Odia,126872:AMOUNT,,MISS
10,Odia,,₹126872:AMOUNT,FALSE_POSITIVE
11,Punjabi,Name1:PERSON,,MISS
11,Punjabi,Address B:ADDRESS,,MISS
11,Punjabi,147377:AMOUNT,,MISS
11,Punjabi,,₹147377:AMOUNT,FALSE_POSITIVE
12,Assamese,Name2:PERSON,,MISS
12,Assamese,Address A:ADDRESS,,MISS
12,Assamese,657904:AMOUNT,,MISS
12,Assamese,,₹657904:AMOUNT,FALSE_POSITIVE
13,Urdu,Name4:PERSON,,MISS
13,Urdu,Address B:ADDRESS,,MISS
13,Urdu,698611:AMOUNT,,MISS
13,Urdu,,₹698611:AMOUNT,FALSE_POSITIVE
14,English,Name2:PERSON,,MISS
14,English,4610735873557063:CARD,,MISS
14,English,Address B:ADDRESS,,MISS
14,English,286542:AMOUNT,,MISS
14,English,,Aadhaar:AADHAAR,FALSE_POSITIVE
14,English,,IFSC:IFSC,FALSE_POSITIVE
14,English,,Card 4610735873557063:CARD,FALSE_POSITIVE
14,English,,₹286542:AMOUNT,FALSE_POSITIVE
15,Hindi,Name1:PERSON,,MISS
15,Hindi,Address B:ADDRESS,,MISS
15,Hindi,293968:AMOUNT,,MISS
15,Hindi,,₹293968:AMOUNT,FALSE_POSITIVE
16,Kannada,Name3:PERSON,,MISS
16,Kannada,Address B:ADDRESS,,MISS
16,Kannada,82720:AMOUNT,,MISS
16,Kannada,,₹82720:AMOUNT,FALSE_POSITIVE
17,Tamil,Name4:PERSON,,MISS
17,Tamil,Address A:ADDRESS,,MISS
17,Tamil,638161:AMOUNT,,MISS
17,Tamil,,₹638161:AMOUNT,FALSE_POSITIVE
18,Telugu,Name1:PERSON,,MISS
18,Telugu,Address A:ADDRESS,,MISS
18,Telugu,668352:AMOUNT,,MISS
18,Telugu,,₹668352:AMOUNT,FALSE_POSITIVE
19,Malayalam,Name3:PERSON,,MISS
19,Malayalam,Address B:ADDRESS,,MISS
19,Malayalam,802782:AMOUNT,,MISS
19,Malayalam,,₹802782:AMOUNT,FALSE_POSITIVE
20,Gujarati,273900009541:BANK_ACCOUNT,273900009541:AADHAAR,WRONG_LABEL
20,Gujarati,Name2:PERSON,,MISS
20,Gujarati,Address C:ADDRESS,,MISS
20,Gujarati,517792:AMOUNT,,MISS
20,Gujarati,,₹517792:AMOUNT,FALSE_POSITIVE
21,Marathi,Name1:PERSON,,MISS
21,Marathi,Address B:ADDRESS,,MISS
21,Marathi,894311:AMOUNT,,MISS
21,Marathi,,₹894311:AMOUNT,FALSE_POSITIVE
22,Bengali,Name5:PERSON,,MISS
22,Bengali,Address B:ADDRESS,,MISS
22,Bengali,893733:AMOUNT,,MISS
22,Bengali,,₹893733:AMOUNT,FALSE_POSITIVE
23,Odia,Address C:ADDRESS,,MISS
23,Odia,36530:AMOUNT,,MISS
